id,categoria,codigo,descripcion,unidad,precio_base,precio_material,precio_mano_obra
1,ALFOMBRA,FCC REM,Alfombra - Retiro y disposición de alfombra y padding existente,SF,0.45,0.0,0.0
2,ALFOMBRA,FCC INS,Alfombra - Instalación de alfombra estándar residencial,SF,2.75,0.0,0.0
3,ALFOMBRA,FCC PRM,Alfombra - Instalación de alfombra premium / pelo alto,SF,3.85,0.0,0.0
4,ALFOMBRA,FCC PAD6,Alfombra - Reemplazo de esponja/padding estándar 6 lb,SF,0.55,0.0,0.0
5,ALFOMBRA,FCC PAD8,Alfombra - Reemplazo de esponja/padding de alta densidad 8 lb con barrera de humedad,SF,0.85,0.0,0.0
6,ALFOMBRA,FCC STR,Alfombra - Instalación en escalón estándar (huella y contrahuella),EA,18.0,0.0,0.0
7,ALFOMBRA,FCC STR-B,Alfombra - Instalación en escalón tipo Bullnose / borde redondeado,EA,24.0,0.0,0.0
8,ALFOMBRA,FCC TRN-M,Alfombra - Barra de transición metálica / pin strip en puertas,LF,4.5,0.0,0.0
9,ALFOMBRA,FCC TCK,Alfombra - Instalación de tiras de clavos perimetrales (tack strips),LF,1.25,0.0,0.0
10,ALFOMBRA,FCC CLN,Alfombra - Limpieza y extracción profunda a vapor,SF,0.4,0.0,0.0
11,PISO,FCW LVT,Piso - Instalación de piso vinílico de lujo (LVT / SPC Click Lock),SF,2.35,0.0,0.0
12,PISO,FCW GLU,Piso - Instalación de piso vinílico pegado directo (Glue-Down),SF,2.6,0.0,0.0
13,PISO,FCW LAM,Piso - Instalación de piso laminado flotante con bajo-suelo acústico,SF,2.1,0.0,0.0
14,PISO,FCT REM,Piso - Demolición y retiro de piso de cerámica / baldosa existente,SF,1.95,0.0,0.0
15,PISO,FCT CER,Piso - Instalación de baldosa cerámica estándar (hasta 12x12),SF,7.5,0.0,0.0
16,PISO,FCT POR,Piso - Instalación de piso de porcelanato gran formato (12x24 o superior),SF,9.5,0.0,0.0
17,PISO,MAS SLU,Piso - Preparación de contrapiso con mortero autonivelante (Self-Leveler),BAG,48.0,0.0,0.0
18,PISO,MAS CMP,Piso - Parcheo localizado de grietas con compuesto de alisado (Patching),SF,0.75,0.0,0.0
19,PISO,FNC SHO,Piso - Suministro e instalación de cuarto bocel (shoe moulding),LF,1.15,0.0,0.0
20,PISO,FNC BAS,Piso - Suministro e instalación de rodapié / baseboard de 3-1/4 a 5-1/4,LF,1.85,0.0,0.0
21,PISO,FNC TRN,"Piso - Instalación de molduras de transición (T-molding, reductor o nariz)",LF,6.5,0.0,0.0
22,MADERA,WDF SND,Madera - Lijado completo y pulido de piso de roble (Hardwood),SF,3.25,0.0,0.0
23,MADERA,WDF STN,Madera - Aplicación de tinte a base de aceite o gel (Wood Stain),SF,1.1,0.0,0.0
24,MADERA,WDF POL,Madera - Sellado y aplicación de 2 manos de poliuretano,SF,1.45,0.0,0.0
25,MADERA,WDF STR,"Madera - Lijado, tinte y barnizado de escalón individual y contrahuella",EA,45.0,0.0,0.0
26,BAÑO,PLA DEM,Baño - Demolición integral de área húmeda (ducha/tina completa),EA,450.0,0.0,0.0
27,BAÑO,PLA TUB,Baño - Retiro y disposición de tina existente de acero o fibra,EA,180.0,0.0,0.0
28,BAÑO,PLA LIN,Baño - Suministro e instalación de membrana impermeable flexible (Shower Pan Liner),EA,350.0,0.0,0.0
29,BAÑO,PLA WTR,Baño - Aplicación de membrana impermeabilizante líquida (RedGard - 2 manos),SF,1.45,0.0,0.0
30,BAÑO,TIL TUB,Baño - Azulejo en paredes de ducha o contorno de bañera,SF,12.5,0.0,0.0
31,BAÑO,TIL MOS,Baño - Mosaico o piedra de río en piso / pendiente de ducha,SF,14.0,0.0,0.0
32,BAÑO,TIL NCH,Baño - Fabricación e instalación de nicho empotrado de pared con azulejo,EA,220.0,0.0,0.0
33,BAÑO,TIL CURB,Baño - Construcción e impermeabilización de brocal de ducha (Curb),LF,35.0,0.0,0.0
34,BAÑO,PLM TLET,Baño - Desmonte y reinstalación de inodoro (Toilet Reset con pernos y cera),EA,125.0,0.0,0.0
35,BAÑO,PLA VAN,Baño - Montaje de mueble de vanitory simple con lavamanos y grifo,EA,240.0,0.0,0.0
36,BAÑO,PLA VAND,Baño - Montaje de vanitory doble con conexiones de fontanería,EA,360.0,0.0,0.0
37,BAÑO,TIL BCK-B,Baño - Salpicadero / backsplash de azulejo sobre vanitory,SF,14.5,0.0,0.0
